state_name,party,name,gender,date_of_birth
Alaska,R,Daniel Sullivan,male,1964-11-13
Alaska,R,Lisa Murkowski,female,1957-05-22
Alabama,D,Gordon Jones,male,1954-05-04
Alabama,R,Richard Shelby,male,1934-05-06
Arkansas,R,John Boozman,male,1950-12-10
Arkansas,R,Tom Cotton,male,1977-05-13
Arizona,D,Kyrsten Sinema,female,1976-07-12
Arizona,R,Martha McSally,female,1966-03-22
California,D,Dianne Feinstein,female,1933-06-22
California,D,Kamala Harris,female,1964-10-20
Colorado,R,Cory Gardner,male,1974-08-22
Colorado,D,Michael Bennet,male,1964-11-28
Connecticut,D,Christopher Murphy,male,1973-08-03
Connecticut,D,Richard Blumenthal,male,1946-02-13
Delaware,D,Christopher Coons,male,1963-09-09
Delaware,D,Thomas Carper,male,1947-01-23
Florida,R,Rick Scott,male,1952-12-01
Florida,R,Marco Rubio,male,1971-05-28
Georgia,R,David Perdue,male,1949-12-10
Georgia,R,Johnny Isakson,male,1944-12-28
Hawaii,D,Brian Schatz,male,1972-10-20
Hawaii,D,Mazie Hirono,female,1947-11-03
Iowa,R,Joni Ernst,female,1970-07-01
Illinois,D,Richard Durbin,male,1944-11-21
Idaho,R,James Risch,male,1943-05-03
Illinois,D,Tammy Duckworth,female,1968-03-12
Indiana,R,Todd Young,male,1972-08-24
Kansas,R,Jerry Moran,male,1954-05-29
Kansas,R,Pat Roberts,male,1936-04-20
Kentucky,R,Mitch McConnell,male,1942-02-20
Kentucky,R,Rand Paul,male,1963-01-07
Louisiana,R,Bill Cassidy,male,1957-09-28
Louisiana,R,John Kennedy,male,1951-11-21
Massachusetts,D,Edward Markey,male,1946-11-11
Massachusetts,D,Elizabeth Warren,female,1949-06-22
Maryland,D,Benjamin Cardin,male,1943-10-05
Maryland,D,Chris Van Hollen,male,1959-01-10
Maine,I,Angus King,male,1944-03-31
Maine,R,Susan Collins,female,1952-12-07
Michigan,D,Debbie Stabenow,female,1950-04-29
Michigan,D,Gary Peters,male,1958-01-01
Minnesota,D,Tina Smith,female,1958-03-04
Minnesota,D,Amy Klobuchar,female,1960-05-25
Missouri,R,Josh Hawley,male,1979-12-31
Indiana,R,Mike Braun,male,1954-03-24
Mississippi,R,Roger Wicker,male,1951-07-05
Mississippi,R,Cindy Hyde-Smith,female,1959-05-10
Iowa,R,Charles Grassley,male,1933-09-17
Montana,R,Steve Daines,male,1962-08-20
Idaho,R,Mike Crapo,male,1951-05-20
Missouri,R,Roy Blunt,male,1950-01-10
North Dakota,R,Kevin Cramer,male,1961-01-21
North Dakota,R,John Hoeven,male,1957-03-13
Montana,D,Jon Tester,male,1956-08-21
North Carolina,R,Richard Burr,male,1955-11-30
North Carolina,R,Thom Tillis,male,1960-08-30
Nebraska,R,Ben Sasse,male,1972-02-22
Nebraska,R,Deb Fischer,female,1951-03-01
New Hampshire,D,Jeanne Shaheen,female,1947-01-28
New Hampshire,D,Margaret Hassan,female,1958-02-27
New Jersey,D,Cory Booker,male,1969-04-27
New Jersey,D,Robert Menendez,male,1954-01-01
New Mexico,D,Martin Heinrich,male,1971-10-17
New Mexico,D,Tom Udall,male,1948-05-18
Nevada,D,Catherine Cortez-Masto,female,1964-03-29
Nevada,D,Jacky Rosen,female,1957-08-02
New York,D,Charles Schumer,male,1950-11-23
New York,D,Kirsten Gillibrand,female,1966-12-09
Ohio,R,Rob Portman,male,1955-12-19
Ohio,D,Sherrod Brown,male,1952-11-09
Oklahoma,R,James Inhofe,male,1934-11-17
Oklahoma,R,James Lankford,male,1968-03-04
Oregon,D,Jeff Merkley,male,1956-10-24
Oregon,D,Ron Wyden,male,1949-05-03
Pennsylvania,R,Patrick Toomey,male,1961-11-17
Pennsylvania,D,Robert Casey,male,1960-04-13
Rhode Island,D,Jack Reed,male,1949-11-12
Rhode Island,D,Sheldon Whitehouse,male,1955-10-20
South Carolina,R,Lindsey Graham,male,1955-07-09
South Carolina,R,Tim Scott,male,1965-09-19
South Dakota,R,John Thune,male,1961-01-07
South Dakota,R,Mike Rounds,male,1954-10-24
Tennessee,R,Marsha Blackburn,female,1952-06-06
Tennessee,R,Lamar Alexander,male,1940-07-03
Texas,R,John Cornyn,male,1952-02-02
Texas,R,Ted Cruz,male,1970-12-22
Utah,R,Mike Lee,male,1971-06-04
Utah,R,Mitt Romney,male,1947-03-12
Virginia,D,Mark Warner,male,1954-12-15
Virginia,D,Tim Kaine,male,1958-02-26
Vermont,I,Bernard Sanders,male,1941-09-08
Vermont,D,Patrick Leahy,male,1940-03-31
Washington,D,Maria Cantwell,female,1958-10-13
Washington,D,Patty Murray,female,1950-10-11
Wisconsin,R,Ron Johnson,male,1955-04-08
Wisconsin,D,Tammy Baldwin,female,1962-02-11
West Virginia,D,Joe Manchin,male,1947-08-24
West Virginia,R,Shelley Capito,female,1953-11-26
Wyoming,R,John Barrasso,male,1952-07-21
Wyoming,R,Michael Enzi,male,1944-02-01
